fixture_id,date,timestamp,timezone,referee,status_short,status_long,elapsed_time,league_id,league_name,country,season,round,home_team_id,home_team_name,home_team_winner,away_team_id,away_team_name,away_team_winner,goals_home,goals_away,score_ht_home,score_ht_away,score_ft_home,score_ft_away,score_et_home,score_et_away,score_pen_home,score_pen_away,venue_name,venue_city
1446019,2025-11-14T00:00:00+00:00,1763078400,UTC,,NS,Not Started,,31,World Cup - Qualification CONCACAF,World,2026,Final Round - 5,5168,Trinidad and Tobago,,2385,Jamaica,,,,,,,,,,,,Hasely Crawford Stadium,Port of Spain
1446020,2025-11-14T00:00:00+00:00,1763078400,UTC,,NS,Not Started,,31,World Cup - Qualification CONCACAF,World,2026,Final Round - 5,5158,Bermuda,,5530,Curaçao,,,,,,,,,,,,Bermuda National Stadium,Hamilton
1480643,2025-11-14T00:00:00+00:00,1763078400,UTC,,NS,Not Started,,239,Primera A,Colombia,2025,Clausura - 20,1144,Rionegro Aguilas,,1142,Deportes Tolima,,,,,,,,,,,,Estadio Alberto Grisales,Rionegro
1480645,2025-11-14T00:00:00+00:00,1763078400,UTC,,NS,Not Started,,239,Primera A,Colombia,2025,Clausura - 20,1127,Deportivo Cali,,1136,Once Caldas,,,,,,,,,,,,Estadio Deportivo Cali,Palmira
1480646,2025-11-14T00:00:00+00:00,1763078400,UTC,,NS,Not Started,,239,Primera A,Colombia,2025,Clausura - 20,1126,Deportivo Pasto,,1131,Bucaramanga,,,,,,,,,,,,Estadio Departamental Libertad,Pasto
1480647,2025-11-14T00:00:00+00:00,1763078400,UTC,,NS,Not Started,,239,Primera A,Colombia,2025,Clausura - 20,1128,Independiente Medellin,,1138,America de Cali,,,,,,,,,,,,Estadio Atanasio Girardot,
1480648,2025-11-14T00:00:00+00:00,1763078400,UTC,,NS,Not Started,,239,Primera A,Colombia,2025,Clausura - 20,1135,Junior,,1137,Atletico Nacional,,,,,,,,,,,,,Barranquilla
1480650,2025-11-14T00:00:00+00:00,1763078400,UTC,,NS,Not Started,,239,Primera A,Colombia,2025,Clausura - 20,1464,Llaneros,,1129,Envigado,,,,,,,,,,,,Estadio Bello Horizonte,Villavicencio
1480651,2025-11-14T00:00:00+00:00,1763078400,UTC,,NS,Not Started,,239,Primera A,Colombia,2025,Clausura - 20,1139,Santa Fe,,1141,Alianza Petrolera,,,,,,,,,,,,,
1480652,2025-11-14T00:00:00+00:00,1763078400,UTC,,NS,Not Started,,239,Primera A,Colombia,2025,Clausura - 20,1465,Union Magdalena,,1147,Fortaleza FC,,,,,,,,,,,,Estadio Sierra Nevada,Santa Marta
