fixture_id,date,timestamp,timezone,referee,status_short,status_long,elapsed_time,league_id,league_name,country,season,round,home_team_id,home_team_name,home_team_winner,away_team_id,away_team_name,away_team_winner,goals_home,goals_away,score_ht_home,score_ht_away,score_ft_home,score_ft_away,score_et_home,score_et_away,score_pen_home,score_pen_away,venue_name,venue_city
1485751,2025-11-12T01:00:00+00:00,1762909200,UTC,,AET,Match Finished,120,304,Liga Panameña de Fútbol,Panama,2025,Quarter-finals,2890,Independiente de La Chorrera,True,2889,Sporting San Miguelito,False,2,1,0,1,1,1,1,0,,,,La Chorrera
1485254,2025-11-12T01:20:00+00:00,1762910400,UTC,,FT,Match Finished,90,240,Primera B,Colombia,2025,Clausura - Quadrangular - 3,1460,Popayan,True,1140,Patriotas,False,1,0,1,0,1,0,,,,,,Cali
1468971,2025-11-12T08:30:00+00:00,1762936200,UTC,,FT,Match Finished,90,1140,AFC Women's Champions League,World,2025,Group Stage - 2,26441,Ispe W,False,16951,Tokyo Verdy Beleza W,True,0,1,0,1,0,1,,,,,,
1470411,2025-11-12T08:30:00+00:00,1762936200,UTC,,FT,Match Finished,90,275,Liga 2,Indonesia,2025,Regular Season East - 16,26648,Tornado Pekanbaru,False,2453,Barito Putera,True,1,2,0,1,1,2,,,,,Jatidiri Stadium,Semarang
1470495,2025-11-12T08:30:00+00:00,1762936200,UTC,,FT,Match Finished,90,275,Liga 2,Indonesia,2025,Regular Season West - 18,24993,Adhyaksa,,4242,Persiraja Banda Aceh,,1,1,0,0,1,1,,,,,Stadion Sriwedari,Banten
1366938,2025-11-12T09:00:00+00:00,1762938000,UTC,,FT,Match Finished,90,893,UEFA U19 Championship - Qualification,World,2026,Qualifying Round - 1,10333,Finland U19,True,10337,Iceland U19,False,3,2,2,1,3,2,,,,,,
1412606,2025-11-12T09:00:00+00:00,1762938000,UTC,,FT,Match Finished,90,336,Druha Liga,Ukraine,2025,Regular Season - 18,6497,Real Pharm,False,6494,Nyva Vinnytsya,True,0,5,0,2,0,5,,,,,Stadion FSK Ivan,Odesa
1412614,2025-11-12T09:30:00+00:00,1762939800,UTC,,FT,Match Finished,90,336,Druha Liga,Ukraine,2025,Regular Season - 18,26189,Penuel,False,21954,Lokomotiv Kyiv,True,0,4,0,3,0,4,,,,,Stadion Svitlo,Kryvyi Rih
1366920,2025-11-12T10:00:00+00:00,1762941600,UTC,,FT,Match Finished,90,893,UEFA U19 Championship - Qualification,World,2026,Qualifying Round - 1,10339,Latvia U19,,10345,Scotland U19,,2,2,2,2,2,2,,,,,,
1366926,2025-11-12T10:00:00+00:00,1762941600,UTC,,FT,Match Finished,90,893,UEFA U19 Championship - Qualification,World,2026,Qualifying Round - 1,10359,Bosnia-Herzegovina U19,False,10376,Poland U19,True,1,2,0,1,1,2,,,,,,
